Hi.	Salut!
Help yourself to a piece of cake.	Servez-vous une part de gâteau.
Her long hair was completely wet.	Sa longue chevelure était complètement mouillée.
Hey, where did you two come from?	Eh, d'où êtes-vous venus, tous les deux ?
His identity must be kept secret.	Son identité doit être gardée secrète.
His story turned out to be false.	Son histoire se révéla être fausse.
How about wearing contact lenses?	Pourquoi ne portes-tu pas de lentilles de contact ?
How did you get out of your room?	Comment es-tu sorti de ta chambre ?
How did you obtain this painting?	Comment avez-vous obtenu ce tableau ?
How do you know all these things?	Comment vous savez toutes ces choses ?
How do you say lobster in French?	Comment dis-tu « homard » en français ?
How in the world did you find me?	Comment diable m'as-tu trouvée ?
How long is your spring vacation?	Combien de temps durent tes vacances de printemps ?
How many people are in your crew?	Combien de gens compte votre équipage ?
How often do you play volleyball?	À quelle fréquence jouez-vous au volley ?
I advised him to give up smoking.	Je lui ai conseillé d'arrêter de fumer.
I already answered that question.	J'ai déjà répondu à cette question.
I always try to eat healthy food.	J'essaye toujours de me nourrir sainement.
I am losing my patience with you.	Je perds patience avec toi.
I am taking a couple of days off.	Je me prends quelques jours libres.
I asked Tom to keep an open mind.	J'ai demandé à Tom de garder un esprit ouvert.
I believe that there's a mistake.	Je crois qu'il y a une erreur.
I called and pretended I was Tom.	J'ai téléphoné, en prétendant être Tom.
I can't believe how stupid I was.	Je n'arrive pas à croire combien j'ai été stupide.
I can't believe you're giving up.	Je n'arrive pas à croire que tu abandonnes.
I can't force you to do anything.	Je ne peux pas te forcer à faire quoi que ce soit.
I can't keep you here any longer.	Je ne peux pas vous garder ici plus longtemps.
I can't see what it is from here.	Je n'arrive pas à voir ce dont il s'agit d'ici.
I can't stand this pain any more.	Je n'arrive plus à supporter cette douleur.
I can't wait for school to start.	Je suis impatiente que l'école commence.
I could answer all the questions.	Je pourrais répondre à toutes les questions.
I couldn't look at it any longer.	Je ne pouvais pas le regarder plus longtemps.
I didn't ask you to come with us.	Je ne t'ai pas demandé de venir avec nous.
I didn't have the sense to do so.	Je n'ai pas eu le bon sens de le faire.
I didn't know what to say to him.	Je ne sus pas quoi lui dire.
I didn't need to paint the fence.	Je n'ai pas eu besoin de peindre la clôture.
I didn't think I needed any help.	Je ne pensais pas avoir besoin d'une aide quelconque.
I do hope you enjoyed the dinner.	J'espère vraiment que vous avez apprécié le dîner.
I don't appreciate your attitude.	Je n'apprécie pas ton attitude.
I don't care what you do with it.	Je me fiche de ce que vous en faites.
I don't even know your real name.	Je ne connais même pas votre vrai nom.
I don't feel like I'm old at all.	Je ne me sens pas du tout vieille.
I don't have any comment on that.	Je n'ai pas de commentaire à ce sujet.
I don't have the address with me.	Je n'ai pas l'adresse sur moi.
I don't know how long I can stay.	Je ne sais pas combien de temps je peux rester.
I don't know how, but you did it.	J'ignore comment, mais vous l'avez fait.
I don't know what I'm doing here.	Je ne sais pas ce que je fais là.
I don't know what to do tomorrow.	Je ne sais pas quoi faire demain !
I don't know where you are going.	J'ignore où tu te rends.
I don't like to be away too long.	Je n'aime pas être partie trop longtemps.
I don't live far from the school.	Je ne vis pas loin de l'école.
I don't read as much as I'd like.	Je ne lis pas autant que je voudrais.
I don't see this as a core issue.	Je ne vois pas cela comme un problème central.
I don't think that I'll go today.	Je ne pense pas que je vais y aller aujourd'hui.
I don't understand German at all.	Je ne comprends pas du tout l'allemand.
I don't usually wait for anybody.	Je n'attends habituellement personne.
I don't want to buy your old car.	Je n'ai pas envie d'acheter ta vieille voiture.
I don't want you to drive my car.	Je ne veux pas que tu conduises ma voiture.
I don't worry about it too much.	Je ne m'en inquiète pas trop.
I feel like I'm a teenager again.	J'ai l'impression d'être un adolescent à nouveau.
I fell asleep listening to music.	Je me suis endormi en écoutant de la musique.
I figured you might want a drink.	J'ai pensé qu'il se pouvait que tu veuilles boire un coup.
I forgot what I was going to say.	J'ai oublié ce que je voulais dire.
I get paid a lot to do what I do.	On me paye cher pour faire ce que je fais.
I got up very early this morning.	Je me suis levée très tôt, ce matin.
I guess you know I've missed you.	Je suppose que tu sais que tu m'as manquée.
I had a strange dream last night.	J'ai fait un rêve étrange, la nuit dernière.
I had to do everything by myself.	J'ai dû tout faire toute seule.
I had to wait for Tom to wake up.	J'ai dû attendre que Tom se lève.
I have a daughter in high school.	J'ai une fille au lycée.
I have a lot of work to do today.	J'ai fort à faire, aujourd'hui.
I have difficulty believing that.	J'ai beaucoup de mal à croire ça.
I have no intention of resigning.	Je n'ai pas l'intention de démissionner.
I have plenty of time to do that.	J'ai plein de temps pour faire ça.
I have to go and buy a newspaper.	Je dois aller acheter un journal.
I haven't finished breakfast yet.	Je n'ai pas encore fini mon petit-déjeuner.
I haven't seen you around before.	Je ne vous ai pas vues auparavant dans les environs.
I held the knife in my left hand.	J'ai tenu le couteau dans ma main gauche.
I hope Tom knows what he's doing.	J'espère que Tom sait ce qu'il fait.
I hope this isn't a huge mistake.	J'espère que ce n'est pas une grave erreur.
I hope you're staying for dinner.	J'espère que tu restes pour dîner.
I just don't want to do it again.	Je ne veux simplement pas le faire à nouveau.
I just finished reading the book.	Je viens juste de terminer la lecture du livre.
I just had to check on something.	Il m'a fallu vérifier quelque chose, un point c'est tout.
I just want to make it up to you.	Je veux juste te le rendre.
I just woke up a few minutes ago.	Je me suis réveillé il y a seulement quelques minutes.
I know a good Italian restaurant.	Je connais un bon restaurant italien.
I know that Tom isn't a wise man.	Je sais que Tom n'est pas un homme avisé.
I know that would make you happy.	Je sais que cela vous rendrait heureuse.
I know what it's like to be poor.	Je sais ce que ça fait d'être pauvre.
I know you want to make me happy.	Je sais que tu veux me rendre heureux.
I laughed so hard I almost cried.	J'ai tellement ri que j'en ai presque pleuré.
I like coffee much more than tea.	Je préfère beaucoup plus le café que le thé.
I like to cook all kinds of food.	J'aime cuisiner toute sorte de nourriture.
I lost ten kilos in three months.	J'ai perdu dix kilos en trois mois.
I made a complete fool of myself.	Je me suis complètement ridiculisée.
I might as well get a head start.	Autant agir en prévision.
I need someone who I can talk to.	Il me faut quelqu'un à qui je puisse parler.
I need you to tell me what to do.	J'ai besoin que vous me disiez quoi faire.
I often go fishing in that river.	Je vais souvent pêcher dans ce fleuve.
I ordered them to leave the room.	Je leur ai ordonné de quitter la pièce.
I promise you I'll keep you safe.	Je te promets que je te garderai en sécurité.
I read the whole book in one day.	J'ai lu tout le livre en une journée.
I really don't have enough money.	Je n'ai vraiment pas assez d'argent.
I recommend we keep our distance.	Je recommande que nous gardions nos distances.
I remember the first time we met.	Je me souviens de la première fois que nous nous sommes rencontrées.
I should've been honest with you.	J'aurais dû être honnête avec toi.
I speak French with Tom and Mary.	Je parle français avec Tom et Mary.
I still have some homework to do.	J'ai encore des devoirs à faire.
I suppose you'll be needing this.	Je suppose que tu auras besoin de ça.
I think I left the water running.	Je pense que j'ai laissé couler l'eau.
I think Tom had a real good year.	Je pense que Tom a passé une bonne année.
I think Tom's number is unlisted.	Je pense que le numéro de Tom est sur liste rouge.
I think that price is reasonable.	Je pense que ce prix est raisonnable.
I think the movie is almost over.	Je pense que le film est presque fini.
I think we need more information.	Je pense que nous avons besoin de plus d'information.
I think we'd better take a break.	Je pense que nous ferions mieux de faire une pause.
I think you should take vitamins.	Je pense que tu devrais prendre des vitamines.
I thought that Tom looked lonely.	Je pensais que Tom avait l'air seul.
I thought we'd have fun together.	Je pensais que nous nous amuserions ensemble.
I thought you were older than me.	Je pensais que vous étiez plus âgé que moi.
I thought you were older than me.	Je pensais que tu étais plus âgée que moi.
I thought you'd gone and left me.	Je pensais que tu serais parti et m'aurais quitté.
I took the wheels off my bicycle.	J'ai retiré les roues de mon vélo.
I used to be the same age as you.	J'avais le même âge que vous.
I wake him up at 6 every morning.	Je le réveille à 6 heures chaque matin.
I want to ask you some questions.	Je veux vous poser des questions.
I want to know how you know that.	Je veux savoir comment tu sais cela.
I want to know who was in charge.	Je veux savoir qui était responsable.
I want to say this the right way.	Je veux dire ceci de la bonne manière.
I want you out of here right now.	Je veux que tu sortes d'ici immédiatement.
I want you to get your own place.	Je veux que vous preniez votre propre logement.
I want you to tell me what to do.	Je veux que tu me dises quoi faire.
I was afraid that you'd say that.	J'avais peur que vous disiez cela.
I was hoping you'd be here today.	J'espérais que tu serais ici aujourd'hui.
I was too tired to go on working.	J'étais trop fatigué pour continuer à travailler.
I was wondering if we could talk.	Je me demandais si nous pouvions discuter.
I went to the same school as Tom.	J'ai été à la même école que Tom.
I wish I could go to the concert.	J'aimerais pouvoir aller au concert.
I wish we had made more progress.	J'aurais aimé que nous eûmes fait davantage de progrès.
I won't need Tom's help tomorrow.	Je n'aurai pas besoin de l'aide de Tom demain.
I wonder where Tom and Mary went.	Je me demande où sont allés Tom et Marie.
I would like to introduce myself.	J'aimerais me présenter.
